"county_name","state_name","x","countyFIPS","per_dem.x","per_gop.x","per_dem.y","per_gop.y","gop_vote_share_change","County Name","State.x","covid_deaths","pop_2019","pop_thousand","deaths_per_thousand","PUBASELINE","PU31102020","PU_change","old_percent","dummy_2016","dummy_old"
"Johnson County","Arkansas",6162,5071,0.269089696566,0.674891630544,0.240366392924826,0.730469572541588,0.0555779419975877,"Johnson County ","AR",8,26578,26.578,0.301000827752276,3.94,4.63,0.69,0.231845887576191,1,0
"Johnson County","Georgia",2443,13167,0.308527973927,0.684139054861,0.298048780487805,0.695121951219512,0.0109828963585121,"Johnson County ","GA",23,9643,9.643,2.38514984963186,3.32,6.51,3.19,0.253344394897853,1,0
"Johnson County","Illinois",3598,17087,0.188632208742,0.771813195945,0.198604651162791,0.784341085271318,0.0125278893263179,"Johnson County ","IL",0,12417,12.417,0,7.26,7.68,0.42,0.289764033180317,1,1
"Johnson County","Indiana",32771,18081,0.261486659922,0.686345860575,0.318688963900126,0.659885593547888,-0.0264602670271117,"Johnson County ","IN",151,158167,158.167,0.954687134484437,2.57,4.04,1.47,0.20719239790854,1,0
"Johnson County","Iowa",25953,19103,0.6602853101,0.277549347542,0.705739943471157,0.273401629080154,-0.00414771846184592,"Johnson County ","IA",31,151140,151.14,0.205107847029244,1.39,1.5,0.11,0.171714966256451,0,0
"Johnson County","Kansas",126375,20091,0.451555479298,0.478661533567,0.527379459966913,0.445441431539901,-0.0332201020270986,"Johnson County ","KS",205,602401,602.401,0.340304879971979,2.86,5.22,2.36,0.209785508324189,0,0
"Johnson County","Kentucky",5722,21115,0.130753138075,0.841317991632,0.157770800627943,0.829081632653061,-0.0122363589789388,"Johnson County ","KY",2,22188,22.188,0.0901388137732107,5.7,6.22,0.52,0.257887146205156,1,0
"Johnson County","Missouri",9857,29101,0.280931379523,0.649784227249,0.3016044630887,0.669852527786187,0.0200683005371869,"Johnson County ","MO",10,54062,54.062,0.184972808997077,2.93,3.28,0.35,0.182327697828419,1,0
"Johnson County","Nebraska",1346,31097,0.273037542662,0.657240370551,0.2897447380206,0.679802955665025,0.0225625851140245,"Johnson County ","NE",0,5071,5.071,0,3.12,3.22,0.1,0.265430881482942,1,1
"Johnson County","Tennessee",5513,47091,0.150701647346,0.823672971324,0.159723112421484,0.829124471221638,0.00545149989763827,"Johnson County ","TN",8,17788,17.788,0.44974139869575,1.99,2.77,0.78,0.309928041376209,1,1
"Johnson County","Texas",35518,48251,0.191653570805,0.774751178628,0.228650788139713,0.75866953683772,-0.0160816417902804,"Johnson County ","TX",66,175817,175.817,0.37539032061746,2.82,5.28,2.46,0.202016869813499,1,0
"Johnson County","Wyoming",2780,56019,0.146700390894,0.799494136583,0.182539682539683,0.78978428978429,-0.00970984679871012,"Johnson County ","WY",2,8445,8.445,0.236826524570752,3.29,3.76,0.47,0.329188869153345,1,1
"Johnston County","North Carolina",40319,37101,0.332962757087,0.639622485305,0.370493098772417,0.613818619395278,-0.0258038659097217,"Johnston County ","NC",60,209339,209.339,0.286616445096231,3.2,4.08,0.88,0.192601474163916,1,0
"Johnston County","Oklahoma",2900,40069,0.195451137216,0.770057485629,0.173606210303458,0.809456598447424,0.0393991128184241,"Johnston County ","OK",4,11085,11.085,0.36084799278304,2.42,3.66,1.24,0.261614794767704,1,0
